flight_id,departure_ts,carrier,departure_airport,arrival_airport,distance,delayed_15_min
EAKGT07,2019-01-01 10:49:00,DL,ATL,LAX,1946,1
HFMII03,2019-01-01 10:50:00,MQ,RDU,PHL,336,0
MFMXH01,2019-01-01 10:51:00,XE,DTW,CLE,95,0
TBPUP03,2019-01-01 10:53:00,US,FLL,EYW,145,0
AQRDY04,2019-01-01 10:59:00,US,CLT,MCO,468,0
KYQKB08,2019-01-01 11:00:00,WN,LAS,MDW,1521,0
PGRKN08,2019-01-01 11:00:00,WN,BWI,LIT,912,0
UXKPU07,2019-01-01 11:19:00,UA,LAX,IAD,2288,0
SMZSO05,2019-01-01 11:20:00,WN,PHX,SLC,507,0
AQLCG04,2019-01-01 11:28:00,MQ,SNA,SFO,372,0
HNLLE06,2019-01-01 11:50:00,AA,IAD,DFW,1172,0
RZWTP06,2019-01-01 11:55:00,WN,BUF,BWI,281,1
IQDJW01,2019-01-01 11:59:00,CO,EWR,PHX,2133,0
IJDPC01,2019-01-01 11:59:00,YV,IAD,MDW,577,0
CHUYZ03,2019-01-01 12:00:00,WN,SAN,OAK,446,0
DEUGT09,2019-01-01 12:15:00,WN,SMF,LAS,397,0
ZSQLT04,2019-01-01 12:16:00,NW,PSP,MSP,1454,0
OOMNF02,2019-01-01 12:23:00,NW,SEA,MEM,1870,0
FLNFA05,2019-01-01 12:24:00,MQ,ORD,BNA,409,1
SCBYM01,2019-01-01 12:25:00,OO,COS,SLC,410,0
RVPHL03,2019-01-01 12:26:00,MQ,PNS,DFW,604,1
BQCLM04,2019-01-01 12:30:00,CO,CLE,MCO,895,0
VPIBZ09,2019-01-01 12:30:00,WN,DAL,STL,546,0
FSZVQ03,2019-01-01 12:35:00,OO,CPR,DEN,230,0
RGIZL09,2019-01-01 12:36:00,MQ,LAX,SBP,155,0
YOGRV06,2019-01-01 12:45:00,OO,IAH,TYR,163,0
ORAFF06,2019-01-01 12:45:00,WN,LAX,MCI,1363,0
APJYD05,2019-01-01 12:54:00,NW,FLL,DTW,1127,0
MCAYS02,2019-01-01 12:54:00,MQ,CLT,DFW,936,0
OMSNE04,2019-01-01 12:55:00,MQ,MIA,CVG,948,1
PDZSZ02,2019-01-01 12:56:00,DL,ATL,DAB,366,0
JIOBL05,2019-01-01 12:59:00,UA,DEN,AUS,775,1
MSQHR05,2019-01-01 12:59:00,NW,MSP,MSN,228,0
QBQXQ06,2019-01-01 13:00:00,DL,DAB,ATL,366,0
WPOMO08,2019-01-01 13:15:00,MQ,RDU,BOS,612,0
ZQVHG09,2019-01-01 13:17:00,WN,AUS,HOU,148,1
PSCOR02,2019-01-01 13:21:00,DL,PSC,SLC,521,1
QCJVT01,2019-01-01 13:25:00,UA,ORD,ATL,606,0
EIVYS06,2019-01-01 13:27:00,FL,ROC,BWI,277,0
OXTEG07,2019-01-01 13:28:00,XE,CMH,EWR,462,0
NHGWD02,2019-01-01 13:30:00,AA,DEN,ORD,888,1
OGHKX08,2019-01-01 13:32:00,XE,MEM,IAH,469,0
PYFHU07,2019-01-01 13:34:00,NW,RDU,MSP,981,0
MTHII02,2019-01-01 13:38:00,US,SAN,PHL,2369,0
QZSBO07,2019-01-01 13:40:00,WN,PHL,RSW,992,0
VPBWH09,2019-01-01 13:48:00,UA,ORD,RIC,642,1
HCHOD02,2019-01-01 13:51:00,US,PIT,MCO,834,0
QOBPC02,2019-01-01 13:56:00,AA,SEA,DFW,1660,1
USOAB03,2019-01-01 14:01:00,MQ,DFW,LRD,394,1
CGHKQ07,2019-01-01 14:12:00,XE,LFT,IAH,201,1
EVKKV08,2019-01-01 14:15:00,YV,DEN,HDN,142,0
FXQKS06,2019-01-01 14:20:00,US,CLT,LGA,544,0
QWEFS09,2019-01-01 14:21:00,CO,IAH,SAT,191,0
OFZBX09,2019-01-01 14:30:00,US,LAS,SFO,414,1
GPFNC09,2019-01-01 14:35:00,WN,AMA,DAL,324,0
DOBMT03,2019-01-01 14:36:00,MQ,ORD,BWI,622,0
PNQFB06,2019-01-01 14:37:00,UA,DCA,ORD,612,0
KRNFT07,2019-01-01 14:41:00,YV,ORD,MKE,67,0
VKGCM07,2019-01-01 14:43:00,EV,LIT,CVG,513,0
BTZAN07,2019-01-01 14:45:00,CO,IAH,MFE,316,0
LHHAQ05,2019-01-01 14:48:00,TZ,MDW,DFW,797,0
SSMUP03,2019-01-01 14:58:00,XE,EWR,ORF,284,0
EUBOX09,2019-01-01 14:58:00,US,LGA,DCA,214,0
APCBW02,2019-01-01 15:06:00,AA,ORD,IND,177,1
XNTUD02,2019-01-01 15:11:00,NW,MSP,DCA,931,0
YCTEH06,2019-01-01 15:20:00,EV,ATL,ABE,692,0
HBUXF07,2019-01-01 15:25:00,WN,DAL,IAH,217,0
XVDTZ07,2019-01-01 15:31:00,DL,ATL,SDF,321,0
KIPML05,2019-01-01 15:35:00,UA,DEN,IAD,1452,0
PHDDC03,2019-01-01 15:38:00,DL,MCO,CVG,756,0
BQMSJ01,2019-01-01 15:40:00,EV,ATL,JAN,341,1
UWQWN03,2019-01-01 15:56:00,HP,PHX,MSY,1301,0
DXBFN06,2019-01-01 16:00:00,OH,SCE,CVG,383,0
VCCEL09,2019-01-01 16:05:00,US,PIT,ORD,412,0
RVPPW06,2019-01-01 16:06:00,CO,IAH,PHX,1009,0
RXPUT09,2019-01-01 16:20:00,WN,PHX,ONT,325,1
RBUYF04,2019-01-01 16:22:00,DL,MSY,ATL,425,0
QWIOJ01,2019-01-01 16:29:00,AA,SAN,DFW,1171,0
JRDEY07,2019-01-01 16:30:00,WN,LAS,LAX,236,1
FVYEV06,2019-01-01 16:30:00,OH,MIA,CVG,948,0
ZYTTR07,2019-01-01 16:31:00,OH,CVG,STL,307,0
TCPGB01,2019-01-01 16:35:00,WN,TUL,HOU,453,0
HFPZU06,2019-01-01 16:45:00,WN,ISP,FLL,1093,0
XHGVP08,2019-01-01 16:47:00,F9,DEN,MCI,533,0
WQUOJ01,2019-01-01 16:47:00,DH,IAD,BDL,326,0
MPJAC02,2019-01-01 16:52:00,MQ,DFW,FSM,228,0
LRBSV08,2019-01-01 16:53:00,WN,DAL,LIT,296,0
RGRVW01,2019-01-01 17:05:00,WN,PHL,MCO,861,0
JCFLA07,2019-01-01 17:05:00,OH,DAY,CVG,64,1
TVZXJ01,2019-01-01 17:10:00,WN,CRP,HOU,187,0
NKEJP06,2019-01-01 17:15:00,YV,XNA,CLT,754,0
XMNME04,2019-01-01 17:15:00,OH,DAY,CVG,64,0
BMATE02,2019-01-01 17:20:00,AA,LAX,LIH,2615,0
TVGIC06,2019-01-01 17:21:00,UA,SMF,DEN,910,1
ULOMO05,2019-01-01 17:36:00,DL,IAD,ATL,533,0
LWSLQ06,2019-01-01 17:39:00,OH,BOS,DCA,399,1
HOHBQ01,2019-01-01 17:40:00,AA,TPA,STL,869,0
WXKCH07,2019-01-01 17:49:00,DL,ATL,LAS,1747,0
UBBRI01,2019-01-01 17:51:00,US,PHL,PIT,267,0
OOCFA04,2019-01-01 17:53:00,US,PIT,DCA,205,0
WEHXC07,2019-01-01 17:55:00,US,PHX,BUR,369,1
LGUHB06,2019-01-01 17:56:00,OO,MTJ,DEN,197,0
QREAC09,2019-01-01 17:58:00,OO,RDD,SFO,199,0
OCMVY07,2019-01-01 18:02:00,UA,ORD,EWR,719,0
GXKCG04,2019-01-01 18:03:00,UA,ORD,LGA,733,0
KFNIQ09,2019-01-01 18:05:00,DL,RDU,CVG,390,0
KNCIV03,2019-01-01 18:09:00,CO,IAH,PHX,1009,0
DDNTZ03,2019-01-01 18:09:00,MQ,DFW,PIT,1068,1
UAFXY04,2019-01-01 18:10:00,AA,BNA,LAX,1797,1
MKPFW07,2019-01-01 18:20:00,XE,TUL,IAH,429,0
FCXPC08,2019-01-01 18:29:00,UA,DEN,ANC,2406,1
YXCXP02,2019-01-01 18:30:00,WN,STL,PHX,1262,0
MLRIV04,2019-01-01 18:30:00,AS,SEA,PHX,1107,1
QDSOH04,2019-01-01 18:32:00,F9,DEN,LAX,862,1
JPOYL08,2019-01-01 18:38:00,XE,CAE,IAH,878,0
CFURX05,2019-01-01 18:38:00,UA,OMA,ORD,416,0
KUDLR04,2019-01-01 18:40:00,WN,SLC,SEA,689,1
MPRQY06,2019-01-01 18:45:00,AA,ORD,ABQ,1118,1
ONEMH07,2019-01-01 18:50:00,FL,ATL,CLT,227,1
KHEYZ01,2019-01-01 18:52:00,DL,FLL,ATL,581,0
SZNSV02,2019-01-01 18:54:00,CO,MCO,IAH,853,1
VSXNB05,2019-01-01 18:54:00,YV,GSO,ORD,590,0
ARTIT02,2019-01-01 18:58:00,FL,JAX,ATL,270,1
NZJAT01,2019-01-01 19:10:00,UA,LGA,IAD,229,0
SMIJI01,2019-01-01 19:10:00,YV,DTW,IAD,383,0
IJBRJ06,2019-01-01 19:14:00,CO,EWR,IAH,1400,1
MCZNE02,2019-01-01 19:17:00,UA,ORD,DCA,612,1
QASYW02,2019-01-01 19:17:00,UA,ORD,BDL,783,1
ZMUHN06,2019-01-01 19:26:00,DL,SLC,SMF,532,1
FMYFG02,2019-01-01 19:28:00,US,DCA,MCO,759,0
KTUAM03,2019-01-01 19:32:00,MQ,SNA,SFO,372,0
QNPQE08,2019-01-01 19:35:00,WN,TUL,DAL,237,0
BBIZZ09,2019-01-01 19:36:00,DL,CVG,DCA,411,1
RJYUJ04,2019-01-01 19:41:00,HA,ITO,HNL,216,0
KGDZT08,2019-01-01 19:45:00,WN,MCI,PVD,1234,0
EASFB07,2019-01-01 19:51:00,UA,ORD,SJC,1829,0
XKBGW05,2019-01-01 19:55:00,OO,SEA,PDX,129,0
OVSFH06,2019-01-01 20:05:00,UA,LAS,DEN,629,0
IHNJR09,2019-01-01 20:15:00,WN,ABQ,PHX,328,0
ICLJI03,2019-01-01 20:19:00,AA,DFW,EWR,1372,1
QMQUD04,2019-01-01 20:27:00,B6,BOS,FLL,1237,0
GGJKC03,2019-01-01 20:38:00,OH,CVG,GRB,416,0
MONOH08,2019-01-01 20:40:00,OO,ORD,CLE,316,1
LRHPX03,2019-01-01 20:46:00,MQ,TVC,MQT,142,1
TUQAM02,2019-01-01 20:50:00,UA,ORD,DEN,888,1
PHGRF02,2019-01-01 20:54:00,WN,SLC,PHX,507,0
RGQTN07,2019-01-01 21:05:00,DL,SLC,ANC,2125,0
UWCGI01,2019-01-01 21:17:00,AA,DFW,ABQ,569,1
PXKVZ07,2019-01-01 21:55:00,WN,MDW,DTW,229,0
SEEAL07,2019-01-01 22:00:00,UA,DEN,OAK,957,1
IEBJB09,2019-01-01 22:09:00,EV,ATL,MGM,147,0
ZBVMT07,2019-01-01 22:48:00,DL,SEA,ATL,2182,0
KOFSX06,2019-01-01 22:50:00,B6,JFK,BUF,301,0
LVZAN01,2019-01-01 22:55:00,EV,ATL,MLB,443,1
NHWHM07,2019-01-01 23:10:00,CO,HNL,EWR,4962,1
PEYBT01,2019-01-01 23:55:00,YV,LAS,FAT,258,0
LVJSZ03,2019-01-02 00:00:00,EV,ATL,ILM,377,1
NSQBI06,2019-01-02 00:49:00,AA,LAS,DFW,1055,0
SFYEQ05,2019-01-02 01:13:00,B6,PHX,JFK,2153,0
CUTMZ09,2019-01-02 05:12:00,EV,DHN,ATL,171,0
RNGGE02,2019-01-02 05:25:00,US,RSW,CLT,600,0
LLQMS06,2019-01-02 05:55:00,YV,GSP,IAD,383,0
IKIOT04,2019-01-02 05:58:00,AA,MSY,MIA,674,0
IOCUP07,2019-01-02 05:58:00,NW,BOS,DTW,632,0
THJHM04,2019-01-02 06:00:00,MQ,RDU,BOS,612,0
VMFXE03,2019-01-02 06:01:00,EV,MDW,ATL,590,1
WQKXC01,2019-01-02 06:02:00,DL,BOS,ATL,946,0
MZSXI08,2019-01-02 06:07:00,XE,ALB,CLE,424,0
OEJDK07,2019-01-02 06:07:00,NW,MDT,DTW,370,0
KMWFC02,2019-01-02 06:08:00,UA,SFO,PDX,550,0
XBQSY07,2019-01-02 06:09:00,OO,FAR,ORD,557,0
WIVHD07,2019-01-02 06:12:00,OO,SBA,DEN,916,0
OBYIL01,2019-01-02 06:19:00,EV,ABY,ATL,146,0
CJTLN09,2019-01-02 06:21:00,F9,SAT,DEN,794,0
FYDJO09,2019-01-02 06:23:00,DL,PSC,SLC,521,0
LLCHJ07,2019-01-02 06:24:00,XE,LEX,IAH,828,0
BLVSB07,2019-01-02 06:25:00,XE,MSP,EWR,1008,0
MDKRM02,2019-01-02 06:29:00,CO,DEN,IAH,861,0
ZSQOI02,2019-01-02 06:37:00,XE,EWR,MKE,725,0
QGROI05,2019-01-02 06:45:00,WN,GEG,LAS,806,0
FRQAY07,2019-01-02 06:46:00,NW,BUF,DTW,240,1
NNDKX09,2019-01-02 06:54:00,AS,SAN,PDX,933,0
UOHIW02,2019-01-02 06:56:00,DL,DAB,ATL,366,0
IHBOD07,2019-01-02 06:57:00,TZ,IND,LAS,1591,0
NOCQJ08,2019-01-02 07:03:00,UA,BWI,LAX,2329,0
VMQDF08,2019-01-02 07:09:00,DL,PBI,ATL,545,0
UHPRT03,2019-01-02 07:09:00,DL,CVG,PHL,507,0
GVLIY01,2019-01-02 07:15:00,EV,ATL,IAD,533,0
HBIFD07,2019-01-02 07:33:00,UA,PHX,ORD,1440,0
OEOUT05,2019-01-02 07:36:00,CO,IAH,DFW,224,0
TRUHA07,2019-01-02 07:37:00,US,RDU,CLT,130,0
HYZKY08,2019-01-02 07:39:00,DL,ATL,PIT,526,0
RJXOZ05,2019-01-02 07:42:00,DL,MHT,ATL,952,0
RDRQA01,2019-01-02 07:44:00,OH,DCA,HSV,613,1
CJPUO02,2019-01-02 07:45:00,AA,TPA,SJU,1237,0
TXVYA05,2019-01-02 07:47:00,AA,TUS,ORD,1437,0
AFRPK08,2019-01-02 07:57:00,NW,GRB,DTW,288,1
WMTWW01,2019-01-02 07:59:00,OH,LEX,DCA,414,0
GEVWC08,2019-01-02 07:59:00,US,LGA,BOS,185,0
JXDYC05,2019-01-02 08:10:00,WN,HOU,MSY,303,0
UFSWE04,2019-01-02 08:10:00,EV,ATL,HSV,151,0
KOGKR09,2019-01-02 08:10:00,CO,SJU,EWR,1608,0
LFAFS05,2019-01-02 08:18:00,DL,DEN,ATL,1199,0
NHRRU05,2019-01-02 08:29:00,OO,SLC,RNO,422,0
JRMBC01,2019-01-02 08:31:00,AS,ADQ,ANC,252,1
RTVYN07,2019-01-02 08:33:00,MQ,RDU,JFK,426,0
QIAMG05,2019-01-02 08:37:00,CO,SAT,IAH,191,0
ILUOD08,2019-01-02 08:38:00,AA,LAX,DFW,1235,1
AUPII05,2019-01-02 08:39:00,DH,TPA,CHS,371,0
HTNIW01,2019-01-02 08:40:00,EV,DFW,SHV,190,0
YPGVS01,2019-01-02 08:46:00,DL,SLC,SNA,588,0
MBWEA06,2019-01-02 08:56:00,DL,SLC,ATL,1589,0
QCXME02,2019-01-02 08:57:00,OH,STL,CVG,307,0
MPUPM03,2019-01-02 08:59:00,US,JAX,CLT,329,0
SCCCS01,2019-01-02 09:10:00,OO,SLC,GTF,463,0
VELNQ03,2019-01-02 09:10:00,OH,EVV,CVG,170,0
JTGBR09,2019-01-02 09:12:00,AA,ELP,DFW,551,0
VCDDO03,2019-01-02 09:13:00,NW,BDL,DTW,548,0
PQEJF08,2019-01-02 09:15:00,WN,PHX,LAX,370,1
VDLGS07,2019-01-02 09:15:00,EV,ATL,PNS,272,1
UHQXR06,2019-01-02 09:20:00,WN,MDW,SJC,1838,0
RDJHY01,2019-01-02 09:23:00,NW,PHL,DTW,453,0
NTBBL08,2019-01-02 09:27:00,MQ,BOS,CMH,640,0
ELDDU04,2019-01-02 09:30:00,WN,OKC,DAL,181,0
PLVSN05,2019-01-02 09:33:00,AA,FLL,SJU,1046,1
LCGIW04,2019-01-02 09:34:00,NW,DTW,LAX,1979,0
BNWYH07,2019-01-02 09:43:00,MQ,MSP,DFW,852,1
WGXIN02,2019-01-02 09:59:00,NW,MEM,JAN,189,0
GJYIZ05,2019-01-02 10:00:00,WN,CLE,BNA,448,0
CPZOQ01,2019-01-02 10:01:00,WN,SJC,PDX,569,0
MJPTJ02,2019-01-02 10:05:00,WN,MCI,LAS,1140,1
UWCVS04,2019-01-02 10:15:00,CO,PHX,EWR,2133,0
AUXZH02,2019-01-02 10:33:00,FL,FLL,ATL,581,0
ZQHDI07,2019-01-02 10:37:00,XE,IAH,PNS,489,0
KDHYZ07,2019-01-02 10:38:00,CO,EWR,TPA,998,1
VZKTE09,2019-01-02 10:39:00,US,DCA,BOS,399,0
PXOYV06,2019-01-02 10:40:00,WN,MCO,FLL,178,1
EHRPY03,2019-01-02 10:40:00,AA,ATL,MIA,595,0
ETSAO01,2019-01-02 10:40:00,F9,DEN,IAH,861,1
UGMAK09,2019-01-02 10:46:00,AA,SAN,DFW,1171,0
MDUVT05,2019-01-02 10:47:00,DL,CVG,FLL,932,0
RDPZX02,2019-01-02 10:48:00,US,CLT,EWR,529,1
MLWVT03,2019-01-02 10:48:00,MQ,ORD,MSN,109,0
JHFEO02,2019-01-02 10:49:00,TZ,MSP,MDW,349,0
HECYS09,2019-01-02 10:51:00,OO,BUR,SFO,326,1
EONJH04,2019-01-02 10:52:00,NW,MSP,BWI,936,1
UXGFS09,2019-01-02 10:53:00,B6,PBI,JFK,1028,0
UDJST03,2019-01-02 11:00:00,DH,ATL,IAD,533,1
KQNJT04,2019-01-02 11:12:00,HP,PHX,IAH,1009,1
XXIAU07,2019-01-02 11:20:00,WN,SAN,MCI,1333,0
TUPPA09,2019-01-02 11:20:00,US,DEN,PHX,602,0
WSESZ02,2019-01-02 11:21:00,OO,SLC,GTF,463,1
WLLIS01,2019-01-02 11:25:00,YV,LAX,PHX,370,0
NTFYR08,2019-01-02 11:30:00,AA,EWR,DFW,1372,0
TLDNO09,2019-01-02 11:30:00,DL,AUS,ATL,813,0
NQMCW07,2019-01-02 11:34:00,EV,ATW,CVG,411,1
GWAUB05,2019-01-02 11:49:00,YV,DEN,COS,72,0
SCUXH07,2019-01-02 11:55:00,CO,MCO,IAH,853,0
TBATW08,2019-01-02 12:07:00,MQ,DFW,CID,685,0
WYZGI02,2019-01-02 12:10:00,YV,XNA,CLT,754,0
DWSAD06,2019-01-02 12:15:00,WN,BHM,MCO,478,0
LNEIF05,2019-01-02 12:18:00,B6,BUF,JFK,301,1
ENVCP06,2019-01-02 12:19:00,MQ,MIA,RIC,826,1
WHBHO09,2019-01-02 12:25:00,MQ,SAN,LAX,109,0
QDHCM02,2019-01-02 12:29:00,US,DCA,BOS,399,0
CTCEP02,2019-01-02 12:30:00,DL,ATL,MHT,952,0
DAAAP09,2019-01-02 12:30:00,WN,PHX,SJC,621,0
LEDJW06,2019-01-02 12:36:00,FL,ATL,BUF,712,1
BVKUP01,2019-01-02 12:39:00,OH,CVG,BNA,230,0
QMRAD06,2019-01-02 12:40:00,WN,LAX,PHX,370,1
IUTMC03,2019-01-02 12:40:00,AA,JFK,SJU,1597,0
YTXYB01,2019-01-02 12:43:00,NW,DTW,LAX,1979,1
LCVIX01,2019-01-02 12:44:00,DL,MLB,ATL,443,1
BAYOE06,2019-01-02 12:52:00,OH,SWF,CVG,583,0
TPUGA08,2019-01-02 12:56:00,MQ,MIA,DAY,999,0
CUAWR04,2019-01-02 12:57:00,UA,SEA,IAD,2306,0
YNEJL06,2019-01-02 12:58:00,OH,TOL,CVG,181,0
EHICH03,2019-01-02 12:59:00,UA,DEN,SAT,794,0
NKBBC06,2019-01-02 12:59:00,MQ,JFK,RDU,426,0
QHUMJ05,2019-01-02 13:09:00,UA,LAX,PHL,2401,0
TCVHZ02,2019-01-02 13:10:00,WN,BNA,RDU,443,0
KZWKH07,2019-01-02 13:12:00,UA,ORD,SAN,1723,1
QCWXD07,2019-01-02 13:14:00,AA,ORD,FLL,1182,1
PSURH03,2019-01-02 13:19:00,NW,SFO,MEM,1807,1
XUZAO08,2019-01-02 13:24:00,WN,SMF,BUR,358,1
JHDSD01,2019-01-02 13:25:00,HA,LIH,HNL,102,0
BBVCD01,2019-01-02 13:25:00,EV,ATL,MYR,317,1
IINIL01,2019-01-02 13:27:00,UA,LAX,IAD,2288,1
NGYER03,2019-01-02 13:27:00,EV,AEX,ATL,500,1
RCWMD06,2019-01-02 13:42:00,NW,MSP,SEA,1399,0
WRCLX06,2019-01-02 13:45:00,AA,MCO,MIA,193,0
FFUKJ05,2019-01-02 13:48:00,EV,CVG,GSO,330,1
MAKJU09,2019-01-02 13:51:00,FL,PNS,ATL,272,0
LCDJO08,2019-01-02 13:55:00,WN,ONT,LAS,197,1
CBPJW08,2019-01-02 13:58:00,B6,BOS,RSW,1249,0
DECOS09,2019-01-02 13:59:00,AA,EGE,ORD,1007,1
SYFYP07,2019-01-02 14:02:00,AA,SAT,DFW,247,0
MJLUM04,2019-01-02 14:04:00,UA,LIH,SFO,2447,0
OSXLC03,2019-01-02 14:15:00,WN,LIT,STL,296,1
KQNIO01,2019-01-02 14:18:00,AA,AUS,ORD,978,1
FUWXL06,2019-01-02 14:20:00,OH,ROC,CVG,461,1
ZRHKB07,2019-01-02 14:29:00,UA,DEN,OAK,957,0
NUDBB05,2019-01-02 14:31:00,NW,PDX,MSP,1426,0
IEUFR03,2019-01-02 14:40:00,EV,ATL,TOL,549,1
EUATQ06,2019-01-02 14:40:00,EV,CVG,DTW,229,0
AGSVZ05,2019-01-02 14:48:00,MQ,RST,ORD,268,0
XNFEP03,2019-01-02 14:49:00,UA,IAD,LAX,2288,0
