tenure,totalcharges,seniorcitizen,monthlycharges,gender,partner,dependents,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod
1,74.7,1,74.7,1,0,0,1,0,1,0,0,0,2,0,0,0,0,2
53,5935.1,0,108.25,0,1,1,1,0,1,0,2,2,2,2,2,0,1,0
1,40.2,1,40.2,1,1,0,0,1,0,0,2,0,0,2,0,0,0,2
1,45.05,0,45.05,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3
1,50.1,0,50.1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,3
60,3027.4,0,50.8,0,0,0,0,1,0,0,2,0,0,2,2,0,1,2
2,51.6,0,19.85,1,0,0,1,0,2,1,1,1,1,1,1,0,0,3
22,1490.4,0,69.7,1,0,0,1,0,1,0,0,0,0,0,0,0,1,3
37,805.2,0,19.5,0,1,0,1,0,2,1,1,1,1,1,1,0,0,0
40,1077.5,0,26.2,0,1,1,1,2,2,1,1,1,1,1,1,0,1,2
67,7009.5,0,106.7,0,1,1,1,2,1,2,0,0,2,2,2,2,0,1
12,654.5,0,54.3,0,0,0,1,0,0,0,2,0,2,0,0,0,1,2
40,4116.8,1,98.15,1,1,0,1,0,1,2,2,2,2,2,0,1,1,1
72,4684.3,0,63.8,0,1,1,0,1,0,2,2,2,2,2,2,2,1,0
1,89.55,0,89.55,1,0,0,1,0,1,0,0,0,0,2,2,0,1,2
62,6529.25,0,102.0,1,0,0,1,2,1,2,2,0,2,0,2,1,0,2
27,2595.25,0,95.6,0,0,0,1,2,1,0,0,0,0,2,2,0,1,0
24,1233.25,0,49.3,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1
28,1505.15,0,54.9,0,0,0,1,2,0,0,0,0,2,0,0,0,1,1
54,3566.7,0,65.65,1,1,1,1,2,0,2,2,0,2,0,0,2,1,1
64,4392.5,0,66.15,1,1,0,1,2,0,2,0,0,0,2,0,1,1,1
52,5731.4,0,109.3,1,0,0,1,2,1,2,0,2,2,2,2,2,1,2
26,2381.55,1,93.85,0,1,0,1,2,1,0,2,2,0,0,2,0,1,2
1,45.25,1,45.25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,600.25,0,19.45,1,1,1,1,0,2,1,1,1,1,1,1,1,1,0
69,5502.55,0,79.45,1,0,1,1,2,0,2,2,2,2,2,0,2,1,1
18,369.6,1,20.35,0,0,0,1,0,2,1,1,1,1,1,1,1,0,0
69,4176.7,0,60.05,1,0,0,0,1,0,2,2,0,2,2,2,2,1,0
72,7542.25,0,105.55,1,1,1,1,2,1,2,0,2,0,2,2,2,1,0
49,3199.0,0,66.15,1,0,0,1,2,0,0,0,0,2,2,0,2,1,0
32,1151.05,0,36.25,1,1,1,0,1,0,0,0,2,2,0,0,1,1,3
63,2298.9,1,36.1,1,1,0,0,1,0,2,0,0,2,0,0,1,0,0
39,3759.05,1,95.65,1,0,0,1,2,1,0,0,0,0,2,2,0,1,0
8,163.6,0,20.05,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3
1,70.85,1,70.85,1,1,0,1,0,1,0,0,0,0,0,0,0,0,3
38,2193.2,0,60.0,1,1,0,0,1,0,2,2,0,2,2,2,2,1,0
1,74.5,0,74.5,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2
7,660.9,0,95.35,0,0,0,1,0,1,0,0,2,0,2,2,0,1,2
71,7382.85,1,105.75,1,0,0,1,2,1,0,2,0,2,2,2,1,0,0
35,2130.45,0,61.0,1,1,0,1,0,0,2,2,2,0,0,0,0,0,3
71,3377.8,0,47.6,0,1,0,0,1,0,2,2,2,2,0,0,2,1,0
9,191.1,0,20.35,0,1,1,1,0,2,1,1,1,1,1,1,2,0,3
5,210.75,0,39.5,0,0,0,0,1,0,0,0,2,0,0,2,0,0,2
47,5135.15,0,104.1,1,1,0,1,2,1,0,2,2,0,2,2,0,1,2
72,7470.1,0,104.8,1,1,0,1,2,1,0,2,2,0,2,2,2,1,0
52,4348.65,0,84.1,1,1,0,1,0,1,2,0,0,0,2,0,0,0,2
8,520.95,0,66.65,1,0,0,1,0,0,0,2,0,2,2,0,0,1,2
68,7322.5,0,105.75,1,1,1,1,0,1,0,2,2,2,2,2,1,0,1
66,4738.85,1,70.85,0,1,0,1,2,0,0,2,2,0,2,0,1,1,0
1,20.1,0,20.1,1,0,0,1,0,2,1,1,1,1,1,1,0,1,3
42,828.85,0,20.7,1,1,1,1,0,2,1,1,1,1,1,1,2,0,3
72,8312.4,0,115.55,0,1,0,1,2,1,2,2,2,2,2,2,2,1,1
1,24.05,0,24.05,1,0,0,1,2,2,1,1,1,1,1,1,0,1,3
1,81.95,0,81.95,0,0,0,1,0,1,0,0,0,0,0,2,0,1,2
71,7291.75,0,105.25,1,1,0,1,0,1,0,2,2,2,2,2,2,1,2
5,318.5,1,69.05,0,0,0,1,0,1,0,0,0,0,0,0,0,1,3
31,638.55,0,20.45,1,0,0,1,0,2,1,1,1,1,1,1,2,0,3
67,3838.2,0,54.2,1,1,1,1,0,0,2,2,0,0,0,0,2,1,0
68,4539.6,0,64.35,0,0,0,0,1,0,2,2,2,2,2,2,2,0,1
2,114.7,0,49.6,0,0,0,1,0,0,0,2,0,0,0,0,0,1,3
1,74.6,0,74.6,0,0,0,1,0,1,0,0,2,0,0,0,0,1,3
32,674.55,0,19.45,1,1,1,1,0,2,1,1,1,1,1,1,0,1,1
19,1495.1,0,78.7,1,0,0,1,0,1,0,0,0,0,2,0,0,1,0
69,5388.15,0,75.75,1,1,1,1,0,0,2,2,2,2,2,0,2,1,0
1,47.95,0,47.95,1,0,0,1,0,0,2,0,0,0,0,0,0,0,2
6,171.0,0,25.1,1,1,0,1,2,2,1,1,1,1,1,1,1,0,3
11,402.6,0,36.05,0,0,1,0,1,0,2,0,0,2,0,0,1,1,3
39,757.95,0,19.75,0,1,1,1,0,2,1,1,1,1,1,1,2,0,3
59,6555.2,0,111.1,1,1,1,1,2,1,2,2,0,2,2,2,2,1,3
62,5150.55,0,84.95,0,1,0,1,2,0,2,2,0,2,2,2,2,1,2
45,5032.25,0,113.3,0,1,0,1,2,1,2,2,2,2,2,2,1,0,3
22,1232.9,0,51.1,1,1,1,1,0,0,0,0,0,2,0,0,0,1,2
7,608.8,0,89.75,1,1,1,1,0,1,0,2,0,2,2,0,0,1,2
10,196.75,0,19.8,0,1,1,1,0,2,1,1,1,1,1,1,0,1,0
12,232.4,0,20.1,0,1,1,1,0,2,1,1,1,1,1,1,0,1,1
39,3877.95,1,99.1,0,1,0,1,0,1,2,2,0,0,2,2,1,0,3
20,1023.85,0,51.8,1,0,0,1,0,0,0,2,0,0,0,0,0,1,3
53,5549.4,1,101.9,1,1,0,1,2,1,0,2,0,0,2,2,0,1,2
10,738.2,0,70.3,1,1,0,1,0,1,0,0,0,0,0,0,0,1,2
16,857.8,0,55.85,1,1,1,1,0,0,2,2,0,0,0,0,1,1,3
19,414.95,0,20.6,1,1,1,1,0,2,1,1,1,1,1,1,0,0,3
71,1789.65,1,25.45,1,1,0,1,2,2,1,1,1,1,1,1,2,0,1
25,2368.4,0,89.1,0,1,1,1,2,1,0,0,2,0,0,2,0,1,2
72,5986.55,0,84.2,0,1,1,1,2,0,2,0,2,2,2,2,2,1,0
2,141.65,1,70.1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2
5,500.1,0,96.55,1,0,0,1,2,1,0,2,2,0,0,2,0,0,2
3,137.25,0,50.4,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0
29,2948.6,1,101.45,1,0,0,1,0,1,0,2,2,0,2,2,0,1,0
53,1336.1,0,25.55,1,1,1,1,2,2,1,1,1,1,1,1,2,0,1
8,226.95,0,29.25,0,0,0,0,1,0,0,2,0,0,0,0,0,1,3
22,849.9,0,39.2,0,1,1,0,1,0,0,2,0,0,2,0,0,0,2
70,7195.35,1,105.55,0,1,0,1,2,1,0,2,0,2,2,2,1,1,0
70,6858.9,0,98.7,1,1,0,1,2,1,0,2,2,2,0,2,2,1,0
61,5638.3,0,94.1,1,1,0,1,2,1,0,2,0,2,2,0,2,1,2
41,3023.55,0,74.55,1,1,1,1,2,0,2,2,2,0,2,0,0,1,1
6,295.65,0,49.15,1,1,1,1,0,0,2,0,0,0,0,0,0,1,2
20,1174.35,1,61.6,0,0,0,1,2,0,0,0,0,0,0,2,0,1,3
3,253.8,0,80.35,1,0,0,1,0,1,0,0,0,0,0,2,0,1,2
71,1847.55,0,25.35,1,1,1,1,2,2,1,1,1,1,1,1,2,0,1
21,2119.5,0,97.35,0,0,0,1,2,1,0,0,0,0,2,2,0,1,2
60,5812.0,0,95.4,1,1,1,1,2,1,2,0,2,0,2,0,1,1,0
70,5445.95,0,78.35,1,1,1,1,2,0,2,2,2,2,0,2,1,0,0
1,19.65,0,19.65,1,0,0,1,0,2,1,1,1,1,1,1,0,0,3
65,7337.55,0,109.3,0,1,1,1,2,1,2,0,2,2,2,2,2,0,2
1,74.9,0,74.9,1,0,0,1,2,1,0,0,0,0,0,0,0,1,2
25,844.45,0,35.05,0,0,1,0,1,0,2,0,0,2,0,0,2,0,0
67,5598.3,0,84.8,0,1,1,1,0,1,2,2,2,0,0,0,1,0,0
16,1194.3,0,72.65,0,0,0,1,2,1,0,0,0,0,0,0,0,0,2
35,1861.1,0,56.85,0,1,0,1,0,0,0,2,0,2,0,0,0,0,2
17,358.05,0,19.4,0,0,0,1,0,2,1,1,1,1,1,1,2,0,3
52,5481.25,1,104.45,1,1,0,1,0,1,2,0,2,2,2,2,1,1,0
10,222.65,0,21.2,0,0,0,1,0,2,1,1,1,1,1,1,0,1,2
9,452.8,0,54.8,1,1,1,1,0,0,0,2,0,2,0,0,0,0,3
10,176.3,0,20.35,1,0,0,1,0,2,1,1,1,1,1,1,1,0,3
67,6989.45,0,105.4,1,1,1,1,2,1,0,2,2,0,2,2,1,1,2
32,696.8,0,20.5,1,0,1,1,0,2,1,1,1,1,1,1,2,0,3
65,4805.65,0,74.2,1,0,0,1,2,0,0,2,2,2,0,2,2,1,1
21,390.4,0,19.6,1,0,0,1,0,2,1,1,1,1,1,1,2,0,3
59,4949.1,0,83.25,0,0,0,1,2,1,0,2,2,0,0,0,0,1,2
48,3023.65,0,69.7,0,1,1,1,0,0,2,0,2,2,2,0,1,0,0
12,628.65,0,56.3,1,1,1,1,0,0,0,0,0,0,2,0,0,1,3
60,4765.0,0,79.2,0,0,0,1,2,1,0,0,2,0,0,0,1,1,0
60,5867.0,1,97.95,1,1,0,1,0,1,0,2,2,0,2,2,1,1,2
24,2494.65,0,104.15,0,0,0,1,2,1,0,2,2,0,2,2,0,1,2
47,2654.05,0,55.3,1,0,1,1,0,0,2,2,0,0,0,0,0,1,2
45,4456.65,0,95.95,1,1,1,1,2,1,0,2,2,0,0,2,0,1,0
25,970.4,0,38.1,1,1,0,0,1,0,0,0,2,0,2,0,1,1,1
56,5432.2,0,96.95,1,1,1,1,2,1,0,2,0,2,2,0,0,1,1
67,6733.15,0,100.9,1,1,0,1,0,1,2,2,0,0,2,2,1,1,1
1,75.05,0,75.05,0,0,0,1,2,1,0,0,0,0,0,0,0,1,3
61,5251.75,1,85.55,1,1,0,1,2,1,0,2,0,2,0,0,1,1,0
1,19.65,0,19.65,1,0,0,1,0,2,1,1,1,1,1,1,0,0,0
20,356.15,0,19.6,1,0,0,1,0,2,1,1,1,1,1,1,0,1,1
21,417.7,0,20.0,1,0,0,1,0,2,1,1,1,1,1,1,0,0,3
72,6058.95,0,86.4,0,1,0,1,2,0,2,2,0,2,2,2,2,1,0
17,1622.45,1,100.45,1,1,0,1,2,1,0,0,2,0,2,2,0,1,1
1,75.7,0,75.7,0,0,0,1,0,1,0,2,0,0,0,0,0,1,2
55,4959.6,0,89.8,0,1,0,1,2,1,2,0,0,0,2,0,0,1,0
71,1663.5,0,23.9,0,1,1,1,2,2,1,1,1,1,1,1,2,0,1
11,760.05,0,70.2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2
72,8670.1,0,117.5,0,1,1,1,2,1,2,2,2,2,2,2,2,0,1
2,137.1,0,80.45,0,0,0,1,0,1,2,0,2,0,0,0,0,1,2
35,2416.55,0,70.3,0,1,0,1,0,1,0,0,0,0,0,0,0,1,2
62,2748.7,0,43.6,0,0,0,0,1,0,0,2,2,0,0,2,2,1,1
72,6094.25,0,86.65,1,1,0,1,2,0,2,0,2,2,2,2,2,0,1
49,1782.0,0,35.8,0,1,1,0,1,0,2,0,0,2,0,0,1,1,1
67,3321.35,0,49.35,1,0,0,0,1,0,2,0,2,2,2,0,1,1,0
45,3533.6,0,81.0,0,1,1,1,0,0,2,0,2,2,2,2,2,1,3
63,1573.05,0,25.25,1,1,1,1,2,2,1,1,1,1,1,1,2,0,3
1,75.35,0,75.35,1,0,1,1,0,1,0,2,0,0,0,0,0,1,2
3,130.15,0,46.1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3
7,493.65,1,64.95,0,0,0,1,0,0,0,2,2,0,2,0,0,1,2
42,4138.05,0,99.45,1,1,0,1,2,1,0,2,2,2,0,2,0,1,2
53,4862.5,0,91.15,0,1,0,1,2,1,0,0,0,2,0,2,1,1,2
66,5898.6,0,89.0,0,1,0,1,2,1,2,2,0,2,0,0,1,0,2
30,2570.2,0,82.05,1,1,1,1,0,1,0,2,2,0,0,0,0,0,0
9,718.55,1,79.55,1,0,0,1,0,1,0,0,0,0,0,2,0,1,2
31,3082.1,0,98.05,1,1,1,1,2,1,2,0,2,0,2,0,1,0,0
32,614.45,0,20.05,1,0,0,1,0,2,1,1,1,1,1,1,2,1,0
12,871.4,0,73.75,1,0,1,1,2,1,0,0,0,0,0,0,0,1,1
3,55.25,0,19.6,0,1,0,1,0,2,1,1,1,1,1,1,0,1,3
63,1234.8,0,19.95,1,1,0,1,0,2,1,1,1,1,1,1,2,1,0
62,4698.05,0,74.3,1,0,0,1,0,0,2,2,0,0,2,2,1,1,1
3,57.2,0,19.85,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3
66,7076.35,1,108.45,1,1,1,1,2,1,0,2,2,2,2,2,1,1,2
72,4908.25,0,69.65,1,0,0,1,2,0,2,2,2,2,0,0,2,0,0
67,1311.75,0,19.95,1,0,0,1,0,2,1,1,1,1,1,1,2,0,0
58,3563.8,0,60.3,1,1,0,1,0,0,2,2,2,0,0,0,1,0,1
69,2960.1,0,43.95,0,1,1,0,1,0,2,0,2,0,0,2,2,1,1
43,3882.3,0,90.65,1,0,0,1,0,1,2,2,2,2,0,0,1,1,1
9,653.95,0,69.05,1,1,0,1,2,0,0,2,2,0,0,2,0,1,1
16,1129.35,0,74.75,0,0,0,1,2,1,0,0,0,0,0,0,0,1,1
1,80.3,1,80.3,1,1,0,1,2,1,2,0,0,0,0,0,0,1,2
72,6827.5,1,96.6,0,1,0,1,2,1,2,2,2,2,0,0,2,1,0
41,3001.2,0,73.0,1,1,0,1,2,0,0,0,2,0,2,2,1,1,2
56,1051.9,0,19.7,0,0,0,1,0,2,1,1,1,1,1,1,2,0,0
72,4265.0,0,59.75,0,0,0,1,2,0,2,2,0,0,0,0,2,0,0
65,1218.65,0,19.55,1,0,0,1,0,2,1,1,1,1,1,1,2,1,1
23,1423.35,0,57.2,1,1,1,1,0,0,2,0,0,2,0,0,1,0,1
13,252.0,0,19.85,1,1,1,1,0,2,1,1,1,1,1,1,0,1,3
55,4213.9,0,75.0,0,1,1,1,2,0,2,2,0,2,2,0,1,1,1
25,2387.75,0,100.25,0,0,0,1,2,1,0,2,0,0,2,2,0,1,2
26,2475.35,0,95.85,0,0,0,1,0,1,2,0,2,2,0,2,1,1,0
5,117.95,0,20.15,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3
72,6511.8,0,90.8,1,1,1,1,2,1,0,0,2,0,0,2,2,1,1
50,970.85,0,20.15,0,0,1,1,0,2,1,1,1,1,1,1,2,0,1
1,19.65,0,19.65,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3
47,873.4,0,20.25,0,1,1,1,0,2,1,1,1,1,1,1,2,0,1
17,280.85,0,19.55,0,0,0,1,0,2,1,1,1,1,1,1,1,0,3
3,63.15,0,20.4,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3
32,2201.75,0,70.5,1,1,0,1,0,0,2,2,0,2,0,2,1,0,3
41,4443.45,0,106.3,0,0,0,1,2,1,0,2,2,0,2,2,0,1,2
10,223.9,0,24.8,1,0,1,1,2,2,1,1,1,1,1,1,0,0,1
28,534.7,0,18.25,1,0,0,1,0,2,1,1,1,1,1,1,1,0,1
72,1521.2,0,20.8,1,0,0,1,0,2,1,1,1,1,1,1,2,1,3
16,1522.7,0,100.7,0,1,1,1,0,1,2,0,2,0,2,2,0,0,0
2,41.2,0,20.3,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3
6,567.8,1,89.35,0,0,0,1,0,1,0,0,0,0,2,2,0,1,2
35,3395.8,1,99.05,1,0,0,1,2,1,0,0,2,0,2,2,0,1,2
36,1939.35,0,53.65,1,1,1,1,0,0,2,2,0,0,0,0,1,0,3
15,1108.6,0,68.6,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0
66,6779.05,0,104.55,0,0,0,1,2,1,2,2,2,2,2,0,1,1,0
72,1750.7,0,24.55,0,1,0,1,2,2,1,1,1,1,1,1,2,0,2
10,475.7,0,49.55,1,1,1,1,0,0,0,2,0,0,0,0,1,0,3
71,3263.6,0,47.05,0,1,0,0,1,0,0,0,2,2,0,2,2,1,2
12,1021.75,0,89.55,1,0,0,1,2,1,0,0,2,0,2,0,0,1,2
56,4284.65,0,75.75,1,0,0,1,0,0,0,2,0,2,2,2,1,1,0
56,5515.45,0,99.8,0,1,1,1,2,1,0,0,2,0,2,2,1,1,1
3,212.4,0,74.95,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2
49,4297.95,0,85.3,1,1,0,1,0,1,0,2,0,0,2,0,0,1,1
53,990.45,0,19.05,0,1,0,1,0,2,1,1,1,1,1,1,1,0,1
24,2440.15,1,101.25,1,0,0,1,2,1,0,2,0,0,2,2,0,1,2
38,735.9,1,20.2,0,0,0,1,0,2,1,1,1,1,1,1,2,0,3
2,81.0,0,45.85,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3
14,419.7,0,31.1,1,0,0,0,1,0,0,2,0,0,0,0,0,1,3
50,4914.9,0,94.4,1,1,0,1,2,1,2,2,0,0,0,2,0,1,1
10,449.3,0,40.7,0,0,0,0,1,0,2,2,2,0,0,0,0,0,0
48,936.7,0,19.95,0,0,1,1,0,2,1,1,1,1,1,1,1,0,3
72,5919.35,0,82.65,0,1,0,1,2,0,2,2,2,0,2,2,2,1,1
2,151.65,0,70.7,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2
16,1511.2,1,94.45,0,0,0,1,0,1,0,0,0,2,2,2,0,1,2
48,982.95,0,20.15,1,0,0,1,0,2,1,1,1,1,1,1,2,0,1
7,438.9,0,61.4,0,0,0,1,0,0,2,2,2,0,0,0,0,0,2
70,5222.3,0,74.1,0,1,1,1,0,0,2,2,2,2,0,2,1,0,1
56,3808.0,0,68.75,0,1,1,1,2,0,2,0,2,0,0,2,1,1,0
43,3856.75,1,89.55,1,0,0,1,0,1,0,0,0,0,2,2,0,1,3
57,2111.45,0,39.3,1,0,0,0,1,0,0,2,0,0,2,0,0,1,2
28,734.6,1,25.7,0,1,0,1,2,2,1,1,1,1,1,1,0,0,3
49,4920.55,0,98.7,1,0,0,1,2,1,0,2,0,0,2,2,0,0,2
72,4807.45,0,65.55,1,0,0,0,1,0,2,2,2,2,2,2,2,1,0
10,563.5,0,60.2,1,1,1,1,0,0,0,0,2,0,2,0,0,0,3
68,6770.5,0,101.05,1,1,1,1,2,1,0,2,0,0,2,2,1,1,1
50,4549.45,0,90.1,1,0,0,1,0,1,2,2,2,2,0,0,1,1,1
8,668.4,0,84.95,0,0,0,1,0,1,2,0,0,0,2,0,0,0,2
25,2199.05,0,85.9,1,1,1,1,0,1,0,0,0,2,2,0,0,0,2
