,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
500123,578719,21693,SMALL HAMMERED SILVER CANDLEPOT ,6,2011-11-25 11:25:00,2.95,17348.0,United Kingdom
500124,578719,22955,36 FOIL STAR CAKE CASES ,1,2011-11-25 11:25:00,2.1,17348.0,United Kingdom
500125,578719,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,1,2011-11-25 11:25:00,2.95,17348.0,United Kingdom
500126,578719,22816,CARD MOTORBIKE SANTA,24,2011-11-25 11:25:00,0.42,17348.0,United Kingdom
500127,578719,23220,REINDEER HEART DECORATION GOLD,2,2011-11-25 11:25:00,0.83,17348.0,United Kingdom
500128,578719,23218,LAUREL STAR ANTIQUE GOLD,2,2011-11-25 11:25:00,1.25,17348.0,United Kingdom
500129,578719,21821,GLITTER STAR GARLAND WITH BELLS ,1,2011-11-25 11:25:00,3.75,17348.0,United Kingdom
500130,578719,23214,JINGLE BELL HEART ANTIQUE GOLD,2,2011-11-25 11:25:00,2.08,17348.0,United Kingdom
500131,578719,22906,12 MESSAGE CARDS WITH ENVELOPES,1,2011-11-25 11:25:00,1.65,17348.0,United Kingdom
500132,578719,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,1,2011-11-25 11:25:00,0.85,17348.0,United Kingdom
500133,578719,22908,PACK OF 20 NAPKINS RED APPLES,1,2011-11-25 11:25:00,0.85,17348.0,United Kingdom
500134,578719,22992,REVOLVER WOODEN RULER ,1,2011-11-25 11:25:00,1.95,17348.0,United Kingdom
500135,578719,23084,RABBIT NIGHT LIGHT,2,2011-11-25 11:25:00,2.08,17348.0,United Kingdom
500136,578719,23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,1,2011-11-25 11:25:00,1.65,17348.0,United Kingdom
500137,578719,21990,MODERN FLORAL STATIONERY SET,1,2011-11-25 11:25:00,1.25,17348.0,United Kingdom
500138,578719,22082,RIBBON REEL STRIPES DESIGN ,5,2011-11-25 11:25:00,1.65,17348.0,United Kingdom
500139,578719,21981,PACK OF 12 WOODLAND TISSUES ,12,2011-11-25 11:25:00,0.39,17348.0,United Kingdom
500140,578719,22811,SET OF 6 T-LIGHTS CACTI ,1,2011-11-25 11:25:00,2.95,17348.0,United Kingdom
500141,578719,85040A,S/4 PINK FLOWER CANDLES IN BOWL,1,2011-11-25 11:25:00,1.65,17348.0,United Kingdom
500142,578719,21731,RED TOADSTOOL LED NIGHT LIGHT,1,2011-11-25 11:25:00,1.65,17348.0,United Kingdom
500143,578719,22659,LUNCH BOX I LOVE LONDON,1,2011-11-25 11:25:00,1.95,17348.0,United Kingdom
500144,578719,23520,EMBROIDERED RIBBON REEL RUBY ,1,2011-11-25 11:25:00,3.75,17348.0,United Kingdom
500145,578733,21643,damaged,-9,2011-11-25 11:32:00,0.0,,United Kingdom
500146,578736,23084,RABBIT NIGHT LIGHT,120,2011-11-25 11:33:00,1.79,12681.0,France
500147,578736,21137,BLACK RECORD COVER FRAME,24,2011-11-25 11:33:00,3.39,12681.0,France
500148,578736,23493,VINTAGE DOILY TRAVEL SEWING KIT,10,2011-11-25 11:33:00,1.95,12681.0,France
500149,578736,23570,TRADITIONAL PICK UP STICKS GAME ,12,2011-11-25 11:33:00,1.25,12681.0,France
500150,578736,23196,VINTAGE LEAF MAGNETIC NOTEPAD,12,2011-11-25 11:33:00,1.45,12681.0,France
500151,578736,22467,GUMBALL COAT RACK,36,2011-11-25 11:33:00,2.1,12681.0,France
500152,578736,20724,RED RETROSPOT CHARLOTTE BAG,20,2011-11-25 11:33:00,0.85,12681.0,France
500153,578736,23445,ICE CREAM BUBBLES,20,2011-11-25 11:33:00,0.83,12681.0,France
500154,578736,22037,ROBOT BIRTHDAY CARD,12,2011-11-25 11:33:00,0.42,12681.0,France
500155,578736,21698,MOCK LOBSTER FRIDGE MAGNET,12,2011-11-25 11:33:00,0.39,12681.0,France
500156,578736,23158,SET OF 5 LUCKY CAT MAGNETS ,12,2011-11-25 11:33:00,2.08,12681.0,France
500157,578736,23156,SET OF 5 MINI GROCERY MAGNETS,12,2011-11-25 11:33:00,2.08,12681.0,France
500158,578736,20750,RED RETROSPOT MINI CASES,2,2011-11-25 11:33:00,7.95,12681.0,France
500159,578736,21770,OPEN CLOSED METAL SIGN,6,2011-11-25 11:33:00,4.95,12681.0,France
500160,578736,POST,POSTAGE,8,2011-11-25 11:33:00,18.0,12681.0,France
500161,578738,21638,,-33,2011-11-25 11:33:00,0.0,,United Kingdom
500162,C578743,POST,POSTAGE,-3,2011-11-25 11:35:00,18.0,12681.0,France
500163,578745,21638,ASSORTED TUTTI FRUTTI NOTEBOOK,18,2011-11-25 11:36:00,2.1,13978.0,United Kingdom
500164,578746,20677,PINK POLKADOT BOWL,4,2011-11-25 11:36:00,2.46,,United Kingdom
500165,578746,20719,WOODLAND CHARLOTTE BAG,54,2011-11-25 11:36:00,2.46,,United Kingdom
500166,578746,20723,STRAWBERRY CHARLOTTE BAG,68,2011-11-25 11:36:00,2.46,,United Kingdom
500167,578746,20724,RED RETROSPOT CHARLOTTE BAG,117,2011-11-25 11:36:00,2.46,,United Kingdom
500168,578746,20725,LUNCH BAG RED RETROSPOT,36,2011-11-25 11:36:00,4.96,,United Kingdom
500169,578746,20726,LUNCH BAG WOODLAND,9,2011-11-25 11:36:00,4.96,,United Kingdom
500170,578746,20727,LUNCH BAG  BLACK SKULL.,11,2011-11-25 11:36:00,4.96,,United Kingdom
500171,578746,21154,RED RETROSPOT OVEN GLOVE ,24,2011-11-25 11:36:00,3.29,,United Kingdom
500172,578746,21155,RED RETROSPOT PEG BAG,3,2011-11-25 11:36:00,4.96,,United Kingdom
500173,578746,21212,PACK OF 72 RETROSPOT CAKE CASES,28,2011-11-25 11:36:00,2.08,,United Kingdom
500174,578746,21479,WHITE SKULL HOT WATER BOTTLE ,19,2011-11-25 11:36:00,9.13,,United Kingdom
500175,578746,21484,CHICK GREY HOT WATER BOTTLE,2,2011-11-25 11:36:00,9.13,,United Kingdom
500176,578746,21485,RETROSPOT HEART HOT WATER BOTTLE,6,2011-11-25 11:36:00,7.46,,United Kingdom
500177,578746,21485,RETROSPOT HEART HOT WATER BOTTLE,2,2011-11-25 11:36:00,12.21,,United Kingdom
500178,578746,21668,RED STRIPE CERAMIC DRAWER KNOB,4,2011-11-25 11:36:00,3.29,,United Kingdom
500179,578746,21670,BLUE SPOT CERAMIC DRAWER KNOB,2,2011-11-25 11:36:00,3.29,,United Kingdom
500180,578746,21671,RED SPOT CERAMIC DRAWER KNOB,5,2011-11-25 11:36:00,3.29,,United Kingdom
500181,578746,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,4,2011-11-25 11:36:00,3.29,,United Kingdom
500182,578746,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,3,2011-11-25 11:36:00,3.29,,United Kingdom
500183,578746,21714,CITRONELLA CANDLE GARDEN POT,1,2011-11-25 11:36:00,3.29,,United Kingdom
500184,578746,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,100,2011-11-25 11:36:00,6.63,,United Kingdom
500185,578746,22110,BIRD HOUSE HOT WATER BOTTLE,4,2011-11-25 11:36:00,5.79,,United Kingdom
500186,578746,22111,SCOTTIE DOG HOT WATER BOTTLE,5,2011-11-25 11:36:00,12.46,,United Kingdom
500187,578746,22112,CHOCOLATE HOT WATER BOTTLE,18,2011-11-25 11:36:00,12.46,,United Kingdom
500188,578746,22114,HOT WATER BOTTLE TEA AND SYMPATHY,57,2011-11-25 11:36:00,9.13,,United Kingdom
500189,578746,22197,POPCORN HOLDER,71,2011-11-25 11:36:00,2.46,,United Kingdom
500190,578746,22327,ROUND SNACK BOXES SET OF 4 SKULLS,4,2011-11-25 11:36:00,6.63,,United Kingdom
500191,578746,22355,CHARLOTTE BAG SUKI DESIGN,208,2011-11-25 11:36:00,2.46,,United Kingdom
500192,578746,22356,CHARLOTTE BAG PINK POLKADOT,37,2011-11-25 11:36:00,2.46,,United Kingdom
500193,578746,22383,LUNCH BAG SUKI DESIGN ,1,2011-11-25 11:36:00,4.96,,United Kingdom
500194,578746,22423,REGENCY CAKESTAND 3 TIER,6,2011-11-25 11:36:00,24.96,,United Kingdom
500195,578746,22426,ENAMEL WASH BOWL CREAM,2,2011-11-25 11:36:00,8.29,,United Kingdom
500196,578746,22631,CIRCUS PARADE LUNCH BOX ,2,2011-11-25 11:36:00,4.96,,United Kingdom
500197,578746,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,5,2011-11-25 11:36:00,6.63,,United Kingdom
500198,578746,22725,ALARM CLOCK BAKELIKE CHOCOLATE,4,2011-11-25 11:36:00,8.29,,United Kingdom
500199,578746,22726,ALARM CLOCK BAKELIKE GREEN,26,2011-11-25 11:36:00,8.29,,United Kingdom
500200,578746,22727,ALARM CLOCK BAKELIKE RED ,14,2011-11-25 11:36:00,8.29,,United Kingdom
500201,578746,22730,ALARM CLOCK BAKELIKE IVORY,3,2011-11-25 11:36:00,8.29,,United Kingdom
500202,578746,22735,RIBBON REEL SOCKS AND MITTENS,1,2011-11-25 11:36:00,4.13,,United Kingdom
500203,578746,22736,RIBBON REEL MAKING SNOWMEN ,5,2011-11-25 11:36:00,4.13,,United Kingdom
500204,578746,22737,RIBBON REEL CHRISTMAS PRESENT ,3,2011-11-25 11:36:00,4.13,,United Kingdom
500205,578746,22738,RIBBON REEL SNOWY VILLAGE,5,2011-11-25 11:36:00,4.13,,United Kingdom
500206,578746,22746,POPPY'S PLAYHOUSE LIVINGROOM ,1,2011-11-25 11:36:00,3.29,,United Kingdom
500207,578746,22747,POPPY'S PLAYHOUSE BATHROOM,1,2011-11-25 11:36:00,3.29,,United Kingdom
500208,578746,22748,POPPY'S PLAYHOUSE KITCHEN,1,2011-11-25 11:36:00,3.29,,United Kingdom
500209,578746,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,14,2011-11-25 11:36:00,3.29,,United Kingdom
500210,578746,22805,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,4,2011-11-25 11:36:00,3.29,,United Kingdom
500211,578746,22834,HAND WARMER BABUSHKA DESIGN,5,2011-11-25 11:36:00,4.96,,United Kingdom
500212,578746,22835,HOT WATER BOTTLE I AM SO POORLY,3,2011-11-25 11:36:00,12.46,,United Kingdom
500213,578746,22898,CHILDRENS APRON APPLES DESIGN,4,2011-11-25 11:36:00,4.96,,United Kingdom
500214,578746,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,12,2011-11-25 11:36:00,6.63,,United Kingdom
500215,578746,22941,CHRISTMAS LIGHTS 10 REINDEER,3,2011-11-25 11:36:00,16.63,,United Kingdom
500216,578746,22952,60 CAKE CASES VINTAGE CHRISTMAS,50,2011-11-25 11:36:00,2.08,,United Kingdom
500217,578746,23084,RABBIT NIGHT LIGHT,5,2011-11-25 11:36:00,4.96,,United Kingdom
500218,578746,23168,CLASSIC CAFE SUGAR DISPENSER,10,2011-11-25 11:36:00,3.29,,United Kingdom
500219,578746,23204,CHARLOTTE BAG APPLES DESIGN,26,2011-11-25 11:36:00,2.46,,United Kingdom
500220,578746,23205,CHARLOTTE BAG VINTAGE ALPHABET ,22,2011-11-25 11:36:00,2.46,,United Kingdom
500221,578746,23206,LUNCH BAG APPLE DESIGN,11,2011-11-25 11:36:00,4.96,,United Kingdom
500222,578746,23207,LUNCH BAG ALPHABET DESIGN,4,2011-11-25 11:36:00,4.96,,United Kingdom
500223,578746,23207,LUNCH BAG ALPHABET DESIGN,1,2011-11-25 11:36:00,8.33,,United Kingdom
500224,578746,23298,SPOTTY BUNTING,9,2011-11-25 11:36:00,10.79,,United Kingdom
500225,578746,23301,GARDENERS KNEELING PAD KEEP CALM ,24,2011-11-25 11:36:00,4.13,,United Kingdom
500226,578746,23355,HOT WATER BOTTLE KEEP CALM,27,2011-11-25 11:36:00,8.29,,United Kingdom
500227,578746,23356,LOVE HOT WATER BOTTLE,1,2011-11-25 11:36:00,12.46,,United Kingdom
500228,578746,23358,HOT STUFF HOT WATER BOTTLE,2,2011-11-25 11:36:00,8.29,,United Kingdom
500229,578746,35970,ZINC FOLKART SLEIGH BELLS,13,2011-11-25 11:36:00,4.13,,United Kingdom
500230,578746,47566,PARTY BUNTING,11,2011-11-25 11:36:00,10.79,,United Kingdom
500231,578746,79321,CHILLI LIGHTS,18,2011-11-25 11:36:00,12.46,,United Kingdom
500232,578746,82583,HOT BATHS METAL SIGN,16,2011-11-25 11:36:00,4.96,,United Kingdom
500233,578746,82583,HOT BATHS METAL SIGN,1,2011-11-25 11:36:00,8.33,,United Kingdom
500234,578746,84029E,RED WOOLLY HOTTIE WHITE HEART.,25,2011-11-25 11:36:00,9.13,,United Kingdom
500235,578746,84029E,RED WOOLLY HOTTIE WHITE HEART.,1,2011-11-25 11:36:00,13.13,,United Kingdom
500236,578746,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,13,2011-11-25 11:36:00,8.29,,United Kingdom
